link,name,price,mrp,dicount-value,discount,delivery-text-msg,rating-text,rating-text-icon,rating-text-icon 2,img,not-available-text,delivery-pincode-text,site
https://www.croma.com/faber-magiclift-ht753-toughened-glass-top-3-burner-automatic-hob-lift-and-lock-feature-black-/p/305670,"FABER Magiclift HT753 Toughened Glass Top 3 Burner Automatic Hob (Lift and Lock Feature, Black)","₹28,499","₹31,500","(Save ₹3,001)",10% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055720/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/305670_0_fr62jk.png?tr=w-400,,,Croma
https://www.croma.com/faber-bella-ht754-glass-top-4-burner-automatic-hob-premium-metal-knobs-black-/p/305680,"FABER Bella HT754 Glass Top 4 Burner Automatic Hob (Premium Metal Knobs, Black)","₹30,149","₹37,990","(Save ₹7,841)",21% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717063768/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/305680_0_ugazcr.png?tr=w-400,,,Croma
https://www.croma.com/faber-ruby-xl-tc-ss-60cm-700m3-hr-ductless-wall-mounted-chimney-with-touch-control-stainless-steel-/p/233571,FABER RUBY XL TC SS 60cm 700m3/hr Ductless Wall Mounted Chimney with Touch Control (Stainless Steel),"₹10,889","₹14,990","(Save ₹4,101)",27% Off,"Standard Delivery by Thur, 29th Aug",5,(),2,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721140594/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/233571_0_q1af2b.png?tr=w-400,,,Croma
https://www.croma.com/faber-bolt-fl-sw-sc-bk-n-60cm-1500m3-hr-ducted-auto-clean-wall-mounted-chimney-with-gesture-touch-control-black-/p/265607,FABER BOLT FL SW SC BK N 60cm 1500m3/hr Ducted Auto Clean Wall Mounted Chimney with Gesture & Touch Control (Black),"₹32,989","₹49,990","(Save ₹17,001)",34% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690207299/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/265607_0_pluyrw.png?tr=w-400,,,Croma
https://www.croma.com/faber-utopia-pro-ht-704-br-ci-toughened-glass-top-4-burner-automatic-hob-flame-failure-device-black-/p/273683,"FABER Utopia Pro HT 704 BR CI Toughened Glass Top 4 Burner Automatic Hob (Flame Failure Device, Black)","₹36,839","₹40,500","(Save ₹3,661)",9% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1701613464/Stoves%20Cooktops/273683_0_uh6oax.png?tr=w-400,,,Croma
https://www.croma.com/faber-sportz-400-watt-3-jars-mixer-grinder-blender-20000-rpm-copper-motor-silver-/p/306867,"FABER Sportz 400 Watt 3 Jars Mixer Grinder Blender (20000 RPM, Copper Motor, Silver)","₹2,999","₹5,999","(Save ₹3,000)",50% Off,"Standard Delivery by Sat, 31st Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1716816558/Croma%20Assets/Small%20Appliances/Food%20Preparation%20App/Images/306867_wwwwby.png?tr=w-400,,,Croma
https://www.croma.com/faber-maxus-ht803-crs-br-ci-ai-toughened-glass-top-3-burner-automatic-hob-high-quality-knob-black-/p/227715,"Faber Maxus HT803 CRS BR CI AI Toughened Glass Top 3 Burner Automatic Hob (High Quality Knob, Black)","₹20,489","₹21,990","(Save ₹1,501)",7% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721056814/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/227715_0_lcyqkc.png?tr=w-400,,,Croma
https://www.croma.com/faber-aerostation-star-pro-3d-ab-tc-90cm-1095m3-hr-ducted-wall-mounted-chimney-with-backlit-touch-alligator-black-/p/230972,FABER AEROSTATION STAR PRO 3D AB TC 90cm 1095m3/hr Ducted Wall Mounted Chimney with Backlit Touch (Alligator Black),"₹22,504","₹44,990","(Save ₹22,486)",50% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1690206149/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/230972_0_vyijex.png?tr=w-400,,,Croma
https://www.croma.com/faber-spark-3-burner-manual-gas-stove-knob-controlled-black-/p/302659,"FABER Spark 3 Burner Manual Gas Stove (Knob Controlled, Black)","₹4,589","₹9,990","(Save ₹5,401)",54% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1699000856/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/302659_pohztk.png?tr=w-400,,,Croma
https://www.croma.com/faber-magic-3bb-bk-tempered-glass-top-3-burner-manual-gas-stove-corrosion-resistance-black-/p/267369,"Faber MAGIC 3BB BK Tempered Glass Top 3 Burner Manual Gas Stove (Corrosion Resistance, Black)","₹5,464","₹9,990","(Save ₹4,526)",45% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055246/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/267369_0_gm2b6b.png?tr=w-400,,,Croma
